Age Group,Gender,Occupation,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Top Movie 1,Top Movie 2,Top Movie 3,Top Movie 4,Top Movie 5
25-34,Female,Tradesman/Craftsman,Neutral,Neutral,Like,Neutral,Dislike,Like,Like,Neutral,Like,Like,Dislike,Like,Neutral,Dislike,Like,Like,Like,Neutral,The Greatest Showman,The Social Dilemma,Eragon,Jiro Dreams of Sushi,Minority Report
25-34,Female,Executive/Managerial,Neutral,Dislike,Like,Like,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Like,Dislike,Dislike,Dislike,Like,Neutral,Paranormal Activity,Frozen,It,Platoon,Into the Woods
45-49,Male,Clerical/Admin,Like,Neutral,Like,Like,Like,Neutral,Like,Dislike,Neutral,Like,Like,Like,Like,Like,Like,Like,Neutral,Like,Se7en,The Third Man,No Country for Old Men,Shutter Island,Notting Hill
18-24,Female,Academic/Educator,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Neutral,Dislike,Dislike,Neutral,Dislike,Neutral,Like,Terminator 2,Anchorman,Pulp Fiction,Minions,Django Unchained
45-49,Female,Unemployed,Like,Like,Neutral,Neutral,Dislike,Like,Like,Like,Like,Dislike,Neutral,Dislike,Neutral,Like,Neutral,Dislike,Neutral,Dislike,13th,Mystic River,Casino,Pulp Fiction,Goodfellas
35-44,Male,Technician/Engineer,Neutral,Like,Dislike,Neutral,Like,Neutral,Like,Like,Neutral,Like,Dislike,Dislike,Like,Neutral,Neutral,Like,Like,Neutral,The Hangover,The Silence of the Lambs,The Third Man,Napoleon Dynamite,Citizenfour
25-34,Female,Retired,Like,Like,Like,Neutral,Dislike,Like,Like,Like,Neutral,Dislike,Neutral,Like,Dislike,Neutral,Like,Like,Like,Neutral,The Silence of the Lambs,The Girl on the Train,Arrival,The Social Dilemma,The Matrix
Under 18,Male,Artist,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Neutral,Full Metal Jacket,Dunkirk,The Lord of the Rings,Grease,Night and the City
18-24,Male,Doctor/Health Care,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Dislike,Like,Like,Like,Dislike,Neutral,Like,Like,Free Solo,The Avengers,Shutter Island,Letters from Iwo Jima,Interstellar
25-34,Female,Scientist,Neutral,Like,Dislike,Like,Neutral,Dislike,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Like,Double Indemnity,The Sound of Music,Avatar,The Big Sleep,The Maltese Falcon
18-24,Male,Clerical/Admin,Like,Neutral,Neutral,Like,Neutral,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Dislike,Neutral,Neutral,Like,Dislike,The Sixth Sense,Dunkirk,The Exorcist,The Blair Witch Project,The Ring
45-49,Male,Scientist,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,It,Elysium,Dune,Anchorman,The Social Dilemma
Under 18,Male,Retired,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Like,Dislike,Like,Dislike,The Dark Knight,Inception,Minority Report,The Maltese Falcon,Cars
50-55,Female,Retired,Dislike,Like,Neutral,Like,Dislike,Neutral,Like,Like,Neutral,Like,Like,Like,Dislike,Dislike,Neutral,Neutral,Like,Neutral,The Ring,Double Indemnity,Indiana Jones,Cars,The Third Man
50-55,Female,Unemployed,Neutral,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Neutral,Neutral,Like,Neutral,Dislike,Neutral,Like,Like,Open Range,Platoon,The Lion King,Superbad,National Treasure
18-24,Female,Doctor/Health Care,Like,Dislike,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Neutral,Like,Like,Like,Neutral,Dune,Platoon,Looper,Ratatouille,Hacksaw Ridge
18-24,Male,Homemaker,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Dislike,Like,Neutral,Dislike,Dislike,Dislike,Neutral,Neutral,Like,Neutral,Neutral,Black Swan,Jiro Dreams of Sushi,Gladiator,Citizenfour,Nightcrawler
45-49,Female,Lawyer,Neutral,Neutral,Like,Neutral,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Neutral,Like,Like,Like,Like,Like,Blade Runner 2049,Stardust,The Golden Compass,The King's Speech,Laura
Under 18,Other,Scientist,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Like,Like,The Lion King,The Avengers,Full Metal Jacket,Interstellar,Citizenfour
18-24,Male,Homemaker,Like,Neutral,Neutral,Like,Like,Like,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Like,Neutral,Dislike,Dislike,Blade Runner 2049,Looper,Goodfellas,The Matrix,Heat
50-55,Male,Farmer,Dislike,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Neutral,Like,Neutral,Dislike,Neutral,Like,Like,Like,Like,Neutral,Moonlight,Notting Hill,The Lego Movie,Ex Machina,Black Swan
45-49,Male,Self-Employed,Like,Dislike,Like,Dislike,Like,Neutral,Dislike,Like,Like,Dislike,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Neutral,Dumb and Dumber,The Hobbit,The 40-Year-Old Virgin,Moonlight,Forrest Gump
56+,Female,Lawyer,Like,Like,Like,Like,Like,Dislike,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Dislike,Like,Like,Like,Like,Dislike,District 9,Toy Story,The Notebook,Step Brothers,Letters from Iwo Jima
35-44,Male,K-12 Student,Dislike,Like,Dislike,Like,Neutral,Neutral,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Neutral,Like,Like,3:10 to Yuma,Minions,Despicable Me,Grease,Moana
45-49,Female,K-12 Student,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Like,Dislike,Dislike,Cars,The Hangover,Avatar,Dumb and Dumber,Forrest Gump
35-44,Female,Artist,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Like,Like,Dislike,Neutral,Like,Dislike,Like,Neutral,Dislike,Like,Like,Pirates of the Caribbean,The Incredibles,Life of Pi,La La Land,3:10 to Yuma
Under 18,Male,Academic/Educator,Dislike,Like,Dislike,Like,Dislike,Neutral,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Neutral,1917,Sunset Boulevard,Double Indemnity,Cars,The Blair Witch Project
18-24,Other,Sales/Marketing,Like,Like,Like,Neutral,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Like,Neutral,Dislike,Like,Neutral,Neutral,Like,Tombstone,Ratatouille,Fight Club,Pulp Fiction,The Dark Knight
56+,Female,College/Grad Student,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Dislike,Neutral,Like,Neutral,Dislike,Dislike,Like,Dislike,Like,Like,Neutral,Nightcrawler,Fury,Life of Pi,No Country for Old Men,The Third Man
56+,Male,Clerical/Admin,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Like,Dislike,Dislike,Like,Moonlight,Minority Report,Eragon,The Lion King,Napoleon Dynamite
18-24,Male,Writer,Neutral,Neutral,Dislike,Dislike,Like,Like,Like,Like,Neutral,Dislike,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Memento,The Girl with the Dragon Tattoo,Titanic,Se7en,Tombstone
50-55,Female,Scientist,Dislike,Like,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Like,Dislike,Neutral,Neutral,Like,Like,Dislike,Neutral,Pirates of the Caribbean,Shrek,Toy Story,Inside Out,Se7en
35-44,Male,K-12 Student,Neutral,Like,Like,Neutral,Like,Like,Like,Like,Like,Like,Like,Dislike,Neutral,Like,Dislike,Like,Dislike,Neutral,The Social Dilemma,Heat,Touch of Evil,Interstellar,The Lion King
Under 18,Male,Tradesman/Craftsman,Neutral,Neutral,Dislike,Neutral,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Seven,Pulp Fiction,American Gangster,Laura,Touch of Evil
35-44,Male,K-12 Student,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Neutral,Dislike,Neutral,Dislike,Neutral,Dislike,Like,Get Out,The Departed,The Hateful Eight,The Ring,Casino
18-24,Female,Customer Service,Like,Dislike,Like,Like,Like,Neutral,Like,Dislike,Like,Dislike,Dislike,Neutral,Like,Dislike,Like,Like,Like,Neutral,The Chronicles of Narnia,Mystic River,Borat,District 9,Superbad
50-55,Male,Homemaker,Neutral,Neutral,Like,Like,Like,Dislike,Neutral,Like,Dislike,Dislike,Like,Neutral,Like,Neutral,Dislike,Like,Dislike,Like,Se7en,The Pursuit of Happyness,Split,The Silence of the Lambs,The Prestige
25-34,Female,Self-Employed,Like,Like,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Like,Neutral,Citizenfour,Die Hard,The Big Sleep,Free Solo,Fury
56+,Male,Unemployed,Like,Dislike,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Dislike,Like,Neutral,Like,Neutral,Touch of Evil,Out of the Past,Chicago,The Green Mile,Dunkirk
50-55,Female,Artist,Neutral,Neutral,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Neutral,Neutral,Like,Like,Like,Neutral,The Girl on the Train,Napoleon Dynamite,Bolt,Cars,Full Metal Jacket
56+,Other,Farmer,Dislike,Neutral,Like,Like,Dislike,Like,Neutral,Neutral,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Neutral,Like,Neutral,Fury,Touch of Evil,American Gangster,Blade Runner 2049,The Incredibles
35-44,Male,Technician/Engineer,Dislike,Like,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,Dislike,Dislike,Avatar,The Shawshank Redemption,The Cove,Pan's Labyrinth,No Country for Old Men
25-34,Female,College/Grad Student,Neutral,Like,Neutral,Dislike,Neutral,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Neutral,Like,Like,Neutral,Dislike,Pirates of the Caribbean,Willow,Life of Pi,Stardust,The Pursuit of Happyness
18-24,Female,Customer Service,Neutral,Neutral,Neutral,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Neutral,Like,The Prestige,Dune,La La Land,Get Out,American Gangster
45-49,Female,Artist,Neutral,Neutral,Neutral,Like,Like,Dislike,Dislike,Neutral,Like,Neutral,Neutral,Like,Dislike,Like,Like,Dislike,Like,Like,Ice Age,Elysium,"The Good, the Bad and the Ugly",The Fault in Our Stars,Minions
45-49,Female,Technician/Engineer,Like,Like,Like,Neutral,Neutral,Like,Neutral,Like,Like,Like,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Neutral,The Golden Compass,Zootopia,Fantastic Beasts,Sunset Boulevard,Stardust
50-55,Female,Artist,Dislike,Neutral,Like,Like,Neutral,Like,Dislike,Like,Neutral,Like,Like,Neutral,Neutral,Like,Like,Like,Like,Dislike,Goodfellas,Whiplash,The Lion King,District 9,Laura
35-44,Male,Scientist,Dislike,Dislike,Like,Neutral,Like,Dislike,Like,Like,Dislike,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Dislike,Neutral,The Conjuring,The 40-Year-Old Virgin,Prisoners,Inside Job,Mean Girls
45-49,Female,Lawyer,Like,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Like,Like,Dislike,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Like,Unforgiven,Superbad,The Prestige,Open Range,Tombstone
18-24,Male,Farmer,Dislike,Like,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral,Like,Like,Dislike,Like,Interstellar,Edge of Tomorrow,Chicago,Indiana Jones,Minority Report
45-49,Male,Sales/Marketing,Like,Dislike,Like,Like,Dislike,Like,Like,Neutral,Neutral,Dislike,Dislike,Neutral,Like,Like,Dislike,Dislike,Neutral,Like,The Others,The Cove,The Notebook,True Grit,Up
56+,Male,Writer,Like,Like,Neutral,Dislike,Like,Like,Like,Like,Neutral,Dislike,Like,Neutral,Like,Neutral,Like,Neutral,Like,Like,Mystic River,Get Out,Bridesmaids,Knives Out,The Babadook
18-24,Male,College/Grad Student,Like,Neutral,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Night and the City,Double Indemnity,Tombstone,3:10 to Yuma,A Beautiful Mind
50-55,Female,Technician/Engineer,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Neutral,Like,Like,Neutral,Like,Singin' in the Rain,Ice Age,The King's Speech,Minions,Shutter Island
35-44,Male,Executive/Managerial,Neutral,Like,Like,Dislike,Dislike,Like,Dislike,Like,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Pulp Fiction,Forrest Gump,Casino,Inside Out,La La Land
18-24,Female,Writer,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Neutral,Dislike,Dislike,Like,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Chicago,Jiro Dreams of Sushi,Ratatouille,Bolt,Napoleon Dynamite
Under 18,Female,Academic/Educator,Like,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Like,Neutral,Like,Neutral,Like,Cars,Titanic,The Fault in Our Stars,Ratatouille,The Dark Knight
35-44,Female,Farmer,Neutral,Like,Dislike,Like,Dislike,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Dislike,Like,Dislike,Like,Neutral,Zodiac,Jiro Dreams of Sushi,Inside Job,Prisoners,American Gangster
25-34,Male,Lawyer,Dislike,Like,Like,Like,Dislike,Neutral,Like,Dislike,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Like,Dislike,Dislike,Like,Open Range,Bolt,Hereditary,Citizenfour,Jiro Dreams of Sushi
50-55,Male,Customer Service,Like,Neutral,Dislike,Like,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Blade Runner 2049,Willow,Mean Girls,Ice Age,Gladiator
Under 18,Male,Homemaker,Like,Like,Like,Like,Neutral,Dislike,Like,Dislike,Like,Dislike,Like,Neutral,Neutral,Like,Like,Like,Like,Like,The Lion King,Frozen,Pan's Labyrinth,Blade Runner 2049,Up
25-34,Female,College/Grad Student,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Neutral,Like,Dislike,Like,Like,Like,Like,Like,Like,3:10 to Yuma,Ex Machina,The Exorcist,The King's Speech,"The Good, the Bad and the Ugly"
50-55,Other,Farmer,Neutral,Dislike,Dislike,Like,Like,Neutral,Like,Dislike,Neutral,Like,Like,Like,Dislike,Neutral,Dislike,Neutral,Dislike,Neutral,Double Indemnity,Les Misérables,The Social Dilemma,A Quiet Place,The Big Sleep
45-49,Male,Sales/Marketing,Like,Dislike,Like,Like,Like,Like,Like,Like,Neutral,Dislike,Like,Like,Like,Like,Dislike,Neutral,Neutral,Dislike,Step Brothers,Ice Age,A Quiet Place,The Green Mile,Les Misérables
Under 18,Female,K-12 Student,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Neutral,Die Hard,Mamma Mia!,Black Swan,The Ring,The Girl with the Dragon Tattoo
56+,Female,Self-Employed,Like,Neutral,Like,Like,Dislike,Neutral,Dislike,Dislike,Like,Like,Like,Dislike,Neutral,Dislike,Dislike,Neutral,Like,Dislike,John Wick,The Conjuring,Percy Jackson,Inception,Laura
35-44,Male,Unemployed,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral,Dislike,Dislike,Neutral,Like,Like,Goodfellas,The 40-Year-Old Virgin,True Grit,Casino,Hereditary
56+,Female,K-12 Student,Like,Like,Like,Dislike,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Neutral,Like,Like,Like,Zootopia,Memento,Skyfall,Fury,The Lord of the Rings
Under 18,Male,Academic/Educator,Neutral,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Neutral,Neutral,Like,Dislike,Like,Neutral,Dislike,Like,Like,Neutral,The Godfather,The Shawshank Redemption,The Girl on the Train,Hereditary,Forrest Gump
50-55,Female,Clerical/Admin,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,Mamma Mia!,Citizenfour,13th,Grease,Whiplash
25-34,Female,Technician/Engineer,Dislike,Like,Dislike,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Dislike,Neutral,Neutral,Like,Neutral,The Prestige,Platoon,Paddington,The King's Speech,Anchorman
56+,Female,Other,Neutral,Dislike,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Like,Neutral,Dislike,Like,Dislike,Like,Dislike,Like,Neutral,Neutral,Willow,Grease,Notting Hill,Nightcrawler,The Chronicles of Narnia
50-55,Male,Unemployed,Like,Like,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Like,Like,Like,Neutral,Neutral,Neutral,Looper,Mad Max: Fury Road,La La Land,Mamma Mia!,A Walk to Remember
25-34,Male,Doctor/Health Care,Dislike,Like,Neutral,Neutral,Dislike,Like,Like,Like,Like,Neutral,Like,Dislike,Like,Like,Like,Neutral,Like,Neutral,Moonlight,La La Land,Fight Club,The Shawshank Redemption,The Conjuring
35-44,Female,College/Grad Student,Dislike,Like,Neutral,Like,Like,Like,Dislike,Neutral,Neutral,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Neutral,The Third Man,Oldboy,Fury,Gilda,Pulp Fiction
35-44,Male,Retired,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Neutral,Dislike,Neutral,Inside Job,Prisoners,The Maltese Falcon,The Lego Movie,Pride and Prejudice
35-44,Female,Technician/Engineer,Like,Dislike,Dislike,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Like,Neutral,Like,Dislike,Like,Dislike,Like,Like,Fury,Hacksaw Ridge,Prisoners,Looper,Borat
Under 18,Female,Scientist,Like,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Neutral,Neutral,Like,Like,Like,Dislike,Dislike,Before Sunrise,The Hobbit,Fahrenheit 9/11,Frozen,The 40-Year-Old Virgin
50-55,Male,Homemaker,Dislike,Neutral,Neutral,Dislike,Like,Like,Dislike,Neutral,Dislike,Like,Neutral,Like,Like,Neutral,Like,Dislike,Dislike,Dislike,Singin' in the Rain,Borat,The Hangover,The Prestige,The Maltese Falcon
25-34,Male,Farmer,Like,Dislike,Like,Neutral,Like,Neutral,Like,Neutral,Like,Dislike,Like,Like,Like,Dislike,Neutral,Like,Like,Like,"The Good, the Bad and the Ugly",Step Brothers,Finding Nemo,It,Blackfish
56+,Male,Retired,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Dislike,Like,Neutral,Like,Dislike,Like,Like,Like,Neutral,Memento,Dunkirk,American Beauty,Inception,The Conjuring
45-49,Female,Self-Employed,Like,Like,Like,Dislike,Like,Neutral,Like,Dislike,Neutral,Dislike,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Like,The Magnificent Seven,Borat,Arrival,The Dark Knight,Into the Woods
35-44,Female,Writer,Dislike,Neutral,Like,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Dislike,Like,The Notebook,The Lego Movie,Gilda,Gone Girl,Zodiac
Under 18,Female,K-12 Student,Like,Neutral,Dislike,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Like,Ex Machina,Casino,La La Land,The Golden Compass,Gladiator
25-34,Male,Unemployed,Like,Neutral,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Like,Gladiator,Elysium,The Avengers,Touch of Evil,Open Range
18-24,Male,Farmer,Like,Dislike,Dislike,Like,Neutral,Like,Like,Dislike,Neutral,Like,Neutral,Like,Like,Dislike,Like,Neutral,Neutral,Like,Inside Job,John Wick,Goodfellas,Sunset Boulevard,Jiro Dreams of Sushi
45-49,Female,Farmer,Neutral,Like,Like,Dislike,Neutral,Like,Like,Like,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Dislike,Like,Neutral,The Fault in Our Stars,Mamma Mia!,Finding Nemo,Platoon,Up
45-49,Male,Programmer,Neutral,Dislike,Neutral,Like,Like,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Like,Like,Neutral,Dislike,Dislike,Like,Tombstone,The Exorcist,The Ring,No Country for Old Men,The Fault in Our Stars
35-44,Male,Customer Service,Neutral,Like,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Like,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Neutral,Arrival,Notting Hill,Gone Girl,Black Swan,Coco
18-24,Male,Self-Employed,Neutral,Like,Like,Neutral,Neutral,Like,Like,Dislike,Dislike,Neutral,Like,Like,Dislike,Neutral,Like,Neutral,Like,Dislike,Grease,Blackfish,Frozen,Finding Nemo,Fahrenheit 9/11
50-55,Female,Writer,Like,Like,Like,Neutral,Neutral,Neutral,Like,Like,Dislike,Neutral,Neutral,Like,Dislike,Like,Dislike,Like,Neutral,Neutral,Citizenfour,Moonlight,The King's Speech,The Revenant,Gone Girl
35-44,Female,Sales/Marketing,Neutral,Neutral,Neutral,Neutral,Like,Like,Dislike,Like,Like,Like,Dislike,Neutral,Neutral,Dislike,Dislike,Like,Like,Like,Gilda,Sunset Boulevard,Laura,The Shawshank Redemption,Se7en
45-49,Male,Farmer,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Dislike,Neutral,Neutral,Like,Dislike,Dislike,Dislike,Like,Like,Mean Girls,Dunkirk,Free Solo,National Treasure,Paddington
35-44,Female,Retired,Like,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Like,Dislike,Like,Like,Dislike,Neutral,Like,Neutral,Like,Double Indemnity,Black Swan,Pulp Fiction,Unforgiven,Gone Girl
45-49,Other,Academic/Educator,Dislike,Neutral,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Neutral,Dislike,Neutral,Neutral,Like,Like,Like,Dislike,Oldboy,Step Brothers,A Beautiful Mind,Gone Girl,Split
50-55,Female,Scientist,Like,Like,Like,Dislike,Like,Like,Like,Neutral,Neutral,Like,Dislike,Like,Like,Dislike,Dislike,Like,Neutral,Like,Inception,Napoleon Dynamite,Fahrenheit 9/11,Avatar,Won’t You Be My Neighbor?
35-44,Male,Sales/Marketing,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Neutral,Dislike,Like,Neutral,Neutral,Dislike,Like,Inside Job,Step Brothers,La La Land,The Big Sleep,Minions
25-34,Female,Homemaker,Dislike,Neutral,Neutral,Neutral,Like,Like,Dislike,Neutral,Neutral,Like,Neutral,Dislike,Dislike,Like,Neutral,Neutral,Neutral,Neutral,The 40-Year-Old Virgin,Titanic,The Third Man,The Hangover,500 Days of Summer
25-34,Male,Farmer,Like,Dislike,Dislike,Neutral,Neutral,Dislike,Like,Like,Neutral,Neutral,Like,Like,Dislike,Like,Neutral,Like,Neutral,Like,Gladiator,The Fault in Our Stars,John Wick,La La Land,Gone Girl
18-24,Male,Sales/Marketing,Like,Like,Like,Neutral,Like,Like,Dislike,Like,Like,Dislike,Dislike,Neutral,Like,Like,Like,Dislike,Dislike,Like,Titanic,Open Range,The Avengers,Unforgiven,Edge of Tomorrow
45-49,Female,Executive/Managerial,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Dislike,Like,Dumb and Dumber,Ice Age,Gladiator,Before Sunrise,Skyfall
56+,Female,Customer Service,Like,Neutral,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Neutral,Dislike,Dislike,Neutral,Neutral,Like,Dislike,Like,Like,Like,Black Swan,Shrek,The Lion King,The Girl on the Train,Fury
25-34,Female,Tradesman/Craftsman,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Dislike,Dislike,Like,Dislike,Neutral,The Silence of the Lambs,Oldboy,The Blair Witch Project,The Babadook,The Departed
35-44,Male,Technician/Engineer,Like,Neutral,Like,Neutral,Dislike,Like,Dislike,Like,Like,Like,Neutral,Like,Like,Like,Like,Like,Dislike,Like,The Bourne Ultimatum,Prisoners,The Lion King,Fight Club,Shrek
35-44,Male,Sales/Marketing,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Like,Neutral,Neutral,Dislike,Cars,The Maltese Falcon,Sunset Boulevard,Whiplash,The Babadook
50-55,Male,Artist,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Neutral,500 Days of Summer,Grease,Les Misérables,Coco,The Sound of Music
56+,Male,K-12 Student,Dislike,Like,Dislike,Like,Like,Like,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Dislike,Dislike,Like,The Fault in Our Stars,The Revenant,Tombstone,No Country for Old Men,Elysium
56+,Male,Artist,Like,Like,Like,Like,Dislike,Dislike,Neutral,Dislike,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Like,Like,Like,Bolt,Dunkirk,Mystic River,Skyfall,The Others
35-44,Female,Scientist,Dislike,Like,Like,Dislike,Dislike,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Like,Like,Like,Like,Dislike,Like,The Shawshank Redemption,The King's Speech,La La Land,Nightcrawler,The Girl with the Dragon Tattoo
Under 18,Other,Other,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Neutral,Like,Dislike,Like,Like,Neutral,Dislike,Neutral,Like,Like,Heat,Die Hard,Mystic River,Gone Girl,Mamma Mia!
50-55,Male,Programmer,Like,Dislike,Neutral,Like,Neutral,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Neutral,Like,Like,Like,Like,Like,American Sniper,The Ring,Gladiator,No Country for Old Men,Hacksaw Ridge
18-24,Male,Retired,Like,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Like,Dislike,Like,Dislike,Neutral,Neutral,Dislike,Neutral,Like,Dislike,Coco,The Chronicles of Narnia,The Dark Knight,Shrek,Cars
35-44,Male,Lawyer,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Like,Neutral,Hacksaw Ridge,Pride and Prejudice,The Avengers,Minority Report,The Matrix
45-49,Female,Writer,Like,Like,Neutral,Like,Like,Like,Like,Like,Neutral,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,The King's Speech,Notting Hill,The Green Mile,Avatar,The Matrix
